date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct
2015-03-31,Paris,Europe,48.86,2.35,12.2,7.4,10.8,0.3,35.6,69
2015-04-01,Paris,Europe,48.86,2.35,10.4,4.8,7.6,0.5,26.6,63
2015-04-02,Paris,Europe,48.86,2.35,9.7,6.4,7.9,3.2,27.6,86
2015-04-03,Paris,Europe,48.86,2.35,11.5,6.3,8.6,6.2,12.3,91
2015-04-04,Paris,Europe,48.86,2.35,9.0,4.4,7.8,0.1,22.9,86
2015-04-05,Paris,Europe,48.86,2.35,10.1,1.0,5.6,0.0,19.8,69
2015-04-06,Paris,Europe,48.86,2.35,12.0,0.4,6.7,0.0,15.5,72
2015-04-07,Paris,Europe,48.86,2.35,13.9,1.2,8.1,0.0,11.7,68
2015-04-08,Paris,Europe,48.86,2.35,15.6,1.2,8.9,0.0,10.5,70
2015-04-09,Paris,Europe,48.86,2.35,19.2,2.3,10.7,0.0,10.8,71
2015-04-10,Paris,Europe,48.86,2.35,19.7,3.6,12.2,0.0,16.3,70
2015-04-11,Paris,Europe,48.86,2.35,14.9,9.0,11.6,1.6,25.9,79
2015-04-12,Paris,Europe,48.86,2.35,17.0,4.4,11.0,0.1,14.3,76
2015-04-13,Paris,Europe,48.86,2.35,17.7,3.9,11.4,0.0,10.7,76
2015-04-14,Paris,Europe,48.86,2.35,22.3,5.6,14.2,0.0,9.9,72
2015-04-15,Paris,Europe,48.86,2.35,23.7,6.8,15.4,0.0,9.7,70
2015-04-16,Paris,Europe,48.86,2.35,22.2,8.9,15.4,0.0,11.7,73
2015-04-17,Paris,Europe,48.86,2.35,17.5,10.0,13.5,0.0,19.1,71
2015-04-18,Paris,Europe,48.86,2.35,15.3,7.1,11.1,0.0,24.2,55
2015-04-19,Paris,Europe,48.86,2.35,16.2,5.1,10.9,0.0,20.2,56
2015-04-20,Paris,Europe,48.86,2.35,19.5,5.5,12.8,0.0,15.0,60
2015-04-21,Paris,Europe,48.86,2.35,20.4,6.9,14.0,0.0,18.2,62
2015-04-22,Paris,Europe,48.86,2.35,18.9,7.5,13.2,0.0,22.9,63
2015-04-23,Paris,Europe,48.86,2.35,19.6,5.8,12.9,0.0,13.5,65
2015-04-24,Paris,Europe,48.86,2.35,20.2,6.4,14.2,1.5,16.5,72
2015-04-25,Paris,Europe,48.86,2.35,18.1,11.7,14.5,3.8,14.8,77
2015-04-26,Paris,Europe,48.86,2.35,14.7,10.2,12.8,8.2,11.9,87
2015-04-27,Paris,Europe,48.86,2.35,13.0,8.1,10.3,0.0,24.2,71
2015-04-28,Paris,Europe,48.86,2.35,13.3,4.1,8.9,0.0,19.1,65
2015-04-29,Paris,Europe,48.86,2.35,14.2,4.4,9.8,1.9,19.5,68
2015-04-30,Paris,Europe,48.86,2.35,10.7,6.2,9.0,12.0,18.9,92
2015-05-01,Paris,Europe,48.86,2.35,10.6,8.6,9.6,9.4,18.7,91
2015-05-02,Paris,Europe,48.86,2.35,13.7,8.6,11.3,11.2,14.7,90
2015-05-03,Paris,Europe,48.86,2.35,18.4,12.5,14.9,4.9,21.1,88
2015-05-04,Paris,Europe,48.86,2.35,19.7,10.6,15.4,14.9,21.6,81
2015-05-05,Paris,Europe,48.86,2.35,18.1,11.7,15.9,2.9,35.0,72
2015-05-06,Paris,Europe,48.86,2.35,15.8,9.0,12.5,0.1,30.9,66
2015-05-07,Paris,Europe,48.86,2.35,15.4,7.3,12.0,0.0,14.1,68
2015-05-08,Paris,Europe,48.86,2.35,17.7,7.9,13.6,3.0,19.7,77
2015-05-09,Paris,Europe,48.86,2.35,18.0,12.1,15.0,0.0,23.1,72
2015-05-10,Paris,Europe,48.86,2.35,20.8,9.4,15.5,0.0,12.1,76
2015-05-11,Paris,Europe,48.86,2.35,25.4,12.0,18.6,0.0,10.0,74
2015-05-12,Paris,Europe,48.86,2.35,19.0,11.2,15.6,0.0,15.6,74
